"","logFC","AveExpr","t","P.Value","adj.P.Val"
"ENSG00000113721",-2.66363389405388,1.34578059311928,-3.63317743057106,0.000758673845386101,0.0756287693775612
"ENSG00000118939",1.16355462823549,6.28603387294848,3.60032411459922,0.000820544280305833,0.0811419827908832
"ENSG00000124216",1.47049048810052,1.99034438113376,3.56887633282886,0.000884447264778911,0.0867670844439057
"ENSG00000187605",1.26710874971034,5.76934545717653,3.51289982076653,0.00101051405908144,0.0983540494827222
"ENSG00000075391",1.28870747308833,5.51350619160737,3.50564080007803,0.00102810329100253,0.0992842560943923
"ENSG00000132849",1.80068960774652,3.54226827029568,3.48783266330472,0.00107253609236341,0.102772237501582
"ENSG00000101187",-1.20683902932826,6.8780145868134,-3.4831561997719,0.00108451305700482,0.103120506904897
"ENSG00000121691",-1.22334084355682,5.64145865010893,-3.46851296961413,0.00112287045188876,0.105952684395397
"ENSG00000087842",-2.1706826474675,3.37342320204309,-3.45500851977852,0.00115942389207532,0.108573020681387
"ENSG00000179361",1.79902996355114,3.04313125787276,3.37883184332712,0.00138847577007566,0.129044729277483
"ENSG00000073350",2.18457464028345,2.84043886139342,3.36507164814597,0.00143433051688282,0.131999365148309
"ENSG00000198729",1.29896446633597,4.03276002766576,3.36292113557818,0.00144162400250964,0.131999365148309
"ENSG00000082438",1.9246525782487,3.81909689899998,3.35731029612369,0.00146083646863139,0.132774996976122
"ENSG00000117318",-1.55084727995613,4.45110405721563,-3.33764473133667,0.00153016661233187,0.138061237190031
"ENSG00000050405",1.20978980266966,8.14192067576869,3.30629178412944,0.0016473883139165,0.147560630060303
"ENSG00000164056",-1.27058835219806,3.4193942126528,-3.21269087405375,0.00205176953281007,0.182459879101189
"ENSG00000189120",1.47535791239024,1.53550282622896,3.17047580945452,0.00226427740465377,0.199919521420895
"ENSG00000263155",1.57271594565803,2.88189545317601,3.14268774959607,0.00241564326518638,0.211771392914672
"ENSG00000214900",-1.86490371492956,1.49959799883628,-3.11409400522843,0.00258160661619779,0.224727037907189
"ENSG00000278291",1.66023711209683,1.65614884690674,3.09029293095387,0.00272811004136609,0.235819358191093
"ENSG00000151917",-2.04809823211058,2.6134494138139,-3.05032164347678,0.00299239176595072,0.256867740409145
"ENSG00000108669",1.22584010660731,5.36110781045497,3.02856679339886,0.00314642237545219,0.268227082641135
"ENSG00000235609",-1.63700514874254,1.05373157679875,-2.96819979732302,0.00361487474930374,0.306051142302353
"ENSG00000166780",-1.38582239861196,2.28411761592765,-2.87644873414507,0.00445723145065532,0.374801618786057
"ENSG00000064300",-2.54223092668725,1.546564196851,-2.8186462131613,0.00508195684150584,0.424446408904417
"ENSG00000184613",-2.02701748171731,0.396620256151181,-2.8091304107944,0.00519140888492418,0.429799013742265
"ENSG00000117525",1.14238420063615,5.87699102800598,2.80706979875107,0.00521558547539356,0.429799013742265
"ENSG00000135750",1.41656542897587,3.57668750820876,2.80244065629899,0.00527033555830699,0.431434555206839
"ENSG00000125968",-1.42397171130423,6.47764663479782,-2.79861615251086,0.00531598120858416,0.432308182363874
"ENSG00000108932",-1.63812782491489,2.08473255471258,-2.73460107234476,0.00613810657905522,0.495902845906546
"ENSG00000145934",2.00093791488168,0.984634195830987,2.7089526028139,0.00650024175802923,0.521749924487009
"ENSG00000150722",1.63809835973927,0.586236435343502,2.59228570094486,0.0084173391264756,0.671269218982999
"ENSG00000163359",1.67642481285054,4.6728310071977,2.5797008796955,0.00865331034330524,0.685663904830744
"ENSG00000106991",-1.20468737158777,6.1014813201159,-2.55726872479084,0.00908938804128917,0.715630099225321
"ENSG00000007968",-1.91412635316815,1.70195268289722,-2.52666039588339,0.00971772739662788,0.760258407276691
"ENSG00000165949",1.37766226554018,2.75113656048836,2.49269774229052,0.010462277107269,0.813359794483972
"ENSG00000115318",1.51721588323409,1.96203513168055,2.47513984440414,0.0108677623442491,0.839602564607896
"ENSG00000152078",1.90100643010862,4.22450220800411,2.45927971585956,0.0112466190341792,0.863474893673842
"ENSG00000261884",2.84820585661059,0.566488484255398,2.43512514391669,0.0118711135016397,0.901963314929762
"ENSG00000136960",-1.61671444669838,3.32272828018008,-2.43138814642683,0.0119427002990747,0.901963314929762
"ENSG00000184545",1.62364861135645,0.992217236529286,2.43044868858431,0.0119668298396959,0.901963314929762
"ENSG00000013016",-1.62116269037154,1.68623613327706,-2.41409638834137,0.0123941440070154,0.928509176186168
"ENSG00000049249",-1.75449563301031,2.70237529064067,-2.40706023973899,0.0125823356106407,0.936929219777887
"ENSG00000277117",-1.39138251553013,2.13614711558671,-2.37143968056102,0.0135762773748158,1
"ENSG00000168077",-1.3500583009272,3.94253649250003,-2.35057308424794,0.0141917402269746,1
"ENSG00000113209",-1.57850831051754,0.963951130886869,-2.34261433202956,0.0144331897400906,1
"ENSG00000123080",-1.29411542415905,3.83532465007189,-2.32092618587792,0.0151104929203156,1
"ENSG00000066629",-1.79261072544594,2.83524826348962,-2.31276899436595,0.0153727415667245,1
"ENSG00000078018",1.69603798533298,2.82674527550042,2.3029540065533,0.0156937762487326,1
"ENSG00000167680",-1.24786889695246,4.98276668362034,-2.29594322944277,0.015926855540335,1
"ENSG00000099814",1.32729947748619,6.02217292098334,2.28996295010461,0.0161281863081068,1
"ENSG00000104267",1.59396147315937,1.77564373367239,2.28938952987527,0.0161476138881668,1
"ENSG00000111490",1.67534245090719,1.85935424829475,2.28580670068713,0.0162694862720757,1
"ENSG00000147804",1.22096819071477,4.2644856680982,2.28264028460727,0.0163778877275256,1
"ENSG00000102048",-2.02633062170614,0.694159033423523,-2.26784334577316,0.0168938837096721,1
"ENSG00000187601",-1.51179910851684,1.69710578872896,-2.25818156357489,0.0172378214141666,1
"ENSG00000154639",1.88189834797096,3.96060914118638,2.227959652432,0.0183574987873298,1
"ENSG00000155846",1.8402093110485,3.57328626083436,2.22442340730987,0.0184926760430217,1
"ENSG00000102452",-1.553765012164,4.18837955214979,-2.21603298458047,0.0188171054964547,1
"ENSG00000240602",1.88761765560126,1.81278465616556,2.20793498270692,0.0191354268289008,1
"ENSG00000065357",1.32798262354415,4.77023379135494,2.1898306212507,0.0198642221041463,1
"ENSG00000138587",-1.60988929739225,2.13583202986924,-2.1831737232635,0.0201385555948212,1
